fold,test_subject,train_n,test_n,experiment,gpu_id,duration_s,peak_mem_gb,n_ensemble,opt_threshold,T_post,opt_threshold_cal,alpha_strategy,focal_gamma,lambda_dann,lambda_mmd,mmd_mode,norm_mode,y_true,y_prob,accuracy,precision,recall,f1,kappa,mcc,balanced_acc,roc_auc,pr_auc,ece,accuracy_cal,precision_cal,recall_cal,f1_cal,kappa_cal,mcc_cal,balanced_acc_cal,roc_auc_cal,pr_auc_cal,ece_cal
34,S36,738,7,abl_no_fusion_transformer,5,802.21,0.847,5,0.05,1.0,0.5,effective_num,3.0,0.1,0.1,marginal,zscore,"[0, 1, 1, 1, 1, 1, 1]","[0.5422505855560302, 0.5818466067314148, 0.5187896192073822, 0.5728195428848266, 0.5441227555274963, 0.5603981375694275, 0.5794345617294312]",0.8571428571428571,0.8571428571428571,1.0,0.9230769230769231,0.0,0.0,0.5,0.8333333333333334,0.976190476190476,0.3000483129705701,0.8571428571428571,0.8571428571428571,1.0,0.9230769230769231,0.0,0.0,0.5,0.8333333333333334,0.976190476190476,0.2992337199651014
35,S37,722,8,abl_no_fusion_transformer,5,1740.27,0.848,5,0.53,0.4365,0.5,effective_num,3.0,0.1,0.1,marginal,zscore,"[0, 0, 0, 0, 0, 0, 1, 1]","[0.2369139850139618, 0.13916268721222877, 0.2580899506807327, 0.2290885865688324, 0.2364053249359131, 0.2060896098613739, 0.3862508237361908, 0.6783848285675049]",0.875,1.0,0.5,0.6666666666666666,0.6,0.6546536707079772,0.75,1.0,1.0,0.6752644813619554,0.875,1.0,0.5,0.6666666666666666,0.6,0.6546536707079772,0.75,1.0,1.0,0.7615014013293233
36,S38,716,10,abl_no_fusion_transformer,5,1681.63,0.849,5,0.56,0.1705,0.5,effective_num,3.0,0.1,0.1,marginal,zscore,"[0, 0, 0, 0, 1, 0, 1, 1, 1, 1]","[0.6228966474533081, 0.0793827548623085, 0.1286287397146225, 0.15366137474775315, 0.542223858833313, 0.27605528235435484, 0.8860201001167297, 0.5092868685722352, 0.7053016066551209, 0.7575916767120361]",0.7,0.75,0.6,0.6666666666666666,0.4,0.408248290463863,0.7,0.92,0.9266666666666665,0.5584744384884834,0.9,0.8333333333333334,1.0,0.9090909090909091,0.8,0.816496580927726,0.9,0.92,0.9266666666666665,0.5653853177765609
19,S21,742,6,abl_no_fusion_transformer,3,1869.93,0.847,5,0.4,0.3027,0.5,effective_num,3.0,0.1,0.1,marginal,zscore,"[0, 0, 0, 0, 0, 1]","[0.5876570641994476, 0.3396045058965683, 0.5046051383018494, 0.649495929479599, 0.34405317902565, 0.43679041266441343]",0.5,0.25,1.0,0.4,0.18181818181818188,0.31622776601683794,0.7,0.4,0.25,0.5824818099538485,0.3333333333333333,0.0,0.0,0.0,-0.33333333333333326,-0.4472135954999579,0.2,0.4,0.25,0.7117533965664953
20,S22,716,14,abl_no_fusion_transformer,3,1157.17,0.849,5,0.46,0.141,0.5,effective_num,3.0,0.1,0.1,marginal,zscore,"[1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1]","[0.41159396171569823, 0.34062800407409666, 0.35688876509666445, 0.5921594440937042, 0.4664055347442627, 0.45613272190093995, 0.5916640400886536, 0.7247076153755188, 0.8581459045410156, 0.6473699092864991, 0.43764120936393736, 0.3777892172336578, 0.41760083436965945, 0.49339103102684023]",0.6428571428571429,1.0,0.5833333333333334,0.7368421052631579,0.2857142857142857,0.40824829046386296,0.7916666666666667,0.9583333333333333,0.9935897435897437,0.37095802809510914,0.5,1.0,0.4166666666666667,0.5882352941176471,0.1694915254237288,0.3042903097250923,0.7083333333333334,0.9583333333333333,0.9935897435897437,0.21529095706841797
21,S23,716,12,abl_no_fusion_transformer,3,784.0,0.849,5,0.44,0.2066,0.5,effective_num,3.0,0.1,0.1,marginal,zscore,"[0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1]","[0.3219709813594818, 0.2642962098121643, 0.31270461678504946, 0.3117923378944397, 0.28332693576812745, 0.5244400322437286, 0.7345182538032532, 0.8234282255172729, 0.667298185825348, 0.7274374604225159, 0.7496212720870972, 0.7606187343597413]",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9999999999999998,0.45987889617681504,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9999999999999998,0.44658822279043375
22,S24,730,13,abl_no_fusion_transformer,3,1230.38,0.848,5,0.49,0.3481,0.5,effective_num,3.0,0.1,0.1,marginal,zscore,"[0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 0]","[0.383512818813324, 0.259467551112175, 0.27909759283065794, 0.26265902519226075, 0.3279487669467926, 0.34693054258823397, 0.3134436964988708, 0.620690894126892, 0.5470972955226898, 0.6025015473365783, 0.6600280046463013, 0.7191439390182495, 0.2780224710702896]",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5691889118689758,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6335933311570511
23,S25,728,14,abl_no_fusion_transformer,3,1752.85,0.848,5,0.43,0.05,0.5,effective_num,3.0,0.1,0.1,marginal,zscore,"[0, 0, 1, 0, 0, 1, 1, 1, 1, 1, 1, 0, 0, 1]","[0.5414721369743347, 0.588497269153595, 0.5949895501136779, 0.6615232229232788, 0.4867767572402954, 0.5829797267913819, 0.7787571907043457, 0.7805918097496033, 0.6236090064048767, 0.6661906361579895, 0.7137972116470337, 0.6736307621002198, 0.4309657394886017, 0.6984802842140198]",0.5714285714285714,0.5714285714285714,1.0,0.7272727272727273,0.0,0.0,0.5,0.8333333333333333,0.8860479797979799,0.17432027757167814,0.7142857142857143,0.6666666666666666,1.0,0.8,0.36363636363636376,0.47140452079103173,0.6666666666666666,0.8333333333333333,0.8860479797979799,0.40738145367548617
24,S26,740,7,abl_no_fusion_transformer,3,838.76,0.847,5,0.47,0.7049,0.5,effective_num,3.0,0.1,0.1,marginal,zscore,"[0, 0, 1, 1, 1, 1, 1]","[0.25933617651462554, 0.3688797950744629, 0.5271135866641998, 0.6686483502388001, 0.620477044582367, 0.7182986736297607, 0.6805364966392518]",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.450958553808076,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.43335951860833316
25,S27,726,7,abl_no_fusion_transformer,4,2650.6,0.848,5,0.52,0.0618,0.5,effective_num,3.0,0.1,0.1,marginal,zscore,"[0, 0, 0, 0, 0, 0, 1]","[0.3195479422807693, 0.3931080996990204, 0.2179528832435608, 0.6376448988914489, 0.3328181058168411, 0.16858872398734093, 0.7720818877220154]",0.8571428571428571,0.5,1.0,0.6666666666666666,0.588235294117647,0.6454972243679028,0.9166666666666667,1.0,1.0,0.6333638937345573,0.8571428571428571,0.5,1.0,0.6666666666666666,0.588235294117647,0.6454972243679028,0.9166666666666667,1.0,1.0,0.8570672036076205
