accuracy,precision,recall,f1,kappa,mcc,balanced_acc,roc_auc,pr_auc,ece,threshold,pred_high_rate,true_high_rate,collapsed,method,fold,test_subject,n
0.7857142857142857,0.75,0.8571428571428571,0.8,0.5714285714285714,0.5773502691896257,0.7857142857142857,0.9591836734693877,0.9682539682539681,0.41023751199245456,0.37,0.5714285714285714,0.5,0,fold_val_threshold,16,S18,14
0.7857142857142857,0.75,0.8571428571428571,0.8,0.5714285714285714,0.5773502691896257,0.7857142857142857,0.9591836734693877,0.9682539682539681,0.41023751199245456,0.40900000000000003,0.5714285714285714,0.5,0,fold_threshold_shrink,16,S18,14
0.7857142857142857,0.75,0.8571428571428571,0.8,0.5714285714285714,0.5773502691896257,0.7857142857142857,0.9591836734693877,0.9682539682539681,0.41023751199245456,0.37,0.5714285714285714,0.5,0,fold_threshold_clipped,16,S18,14
0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.7142857142857143,0.7142857142857143,0.8571428571428571,0.9591836734693877,0.9682539682539681,0.41023751199245456,0.5947834506630898,0.5,0.5,0,subject_median_unsup,16,S18,14
0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.7142857142857143,0.7142857142857143,0.8571428571428571,0.9591836734693877,0.9682539682539681,0.41023751199245456,0.5947834506630898,0.5,0.5,0,subject_prior_quantile_unsup,16,S18,14
0.4117647058823529,0.4117647058823529,1.0,0.5833333333333334,0.0,0.0,0.5,0.8999999999999999,0.8486394557823129,0.28513577896005965,0.5,1.0,0.4117647058823529,1,fixed_0p50,17,S19,17
0.4117647058823529,0.4117647058823529,1.0,0.5833333333333334,0.0,0.0,0.5,0.8999999999999999,0.8486394557823129,0.28513577896005965,0.05,1.0,0.4117647058823529,1,fold_val_threshold,17,S19,17
0.4117647058823529,0.4117647058823529,1.0,0.5833333333333334,0.0,0.0,0.5,0.8999999999999999,0.8486394557823129,0.28513577896005965,0.18500000000000003,1.0,0.4117647058823529,1,fold_threshold_shrink,17,S19,17
0.4117647058823529,0.4117647058823529,1.0,0.5833333333333334,0.0,0.0,0.5,0.8999999999999999,0.8486394557823129,0.28513577896005965,0.35,1.0,0.4117647058823529,1,fold_threshold_clipped,17,S19,17
0.7647058823529411,0.6666666666666666,0.8571428571428571,0.75,0.5342465753424657,0.5493502655735357,0.7785714285714285,0.8999999999999999,0.8486394557823129,0.28513577896005965,0.591085571050644,0.5294117647058824,0.4117647058823529,0,subject_median_unsup,17,S19,17
0.7647058823529411,0.6666666666666666,0.8571428571428571,0.75,0.5342465753424657,0.5493502655735357,0.7785714285714285,0.8999999999999999,0.8486394557823129,0.28513577896005965,0.591085571050644,0.5294117647058824,0.4117647058823529,0,subject_prior_quantile_unsup,17,S19,17
0.8571428571428571,1.0,0.5,0.6666666666666666,0.588235294117647,0.6454972243679028,0.75,1.0,1.0,0.7370167808341129,0.5,0.14285714285714285,0.2857142857142857,0,fixed_0p50,18,S20,7
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7370167808341129,0.35,0.2857142857142857,0.2857142857142857,0,fold_val_threshold,18,S20,7
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7370167808341129,0.395,0.2857142857142857,0.2857142857142857,0,fold_threshold_shrink,18,S20,7
