balanced_acc,mcc,f1,accuracy,strategy,test_subject,n
0.8,0.6831300510639732,0.875,0.8333333333333334,online_median[k=2],S23,12
0.9,0.8366600265340756,0.9333333333333333,0.9166666666666666,online_quantile[k=3],S23,12
0.9,0.8366600265340756,0.9333333333333333,0.9166666666666666,online_median[k=3],S23,12
1.0,1.0,1.0,1.0,online_quantile[k=5],S23,12
1.0,1.0,1.0,1.0,online_median[k=5],S23,12
1.0,1.0,1.0,1.0,fixed_0.5,S24,13
1.0,1.0,1.0,1.0,val_subject,S24,13
0.875,0.7319250547113999,0.8333333333333334,0.8461538461538461,train_prior_quantile,S24,13
0.75,0.5270462766947299,0.7142857142857143,0.6923076923076923,online_quantile[k=2],S24,13
0.75,0.5270462766947299,0.7142857142857143,0.6923076923076923,online_median[k=2],S24,13
0.75,0.5270462766947299,0.7142857142857143,0.6923076923076923,online_quantile[k=3],S24,13
0.75,0.5270462766947299,0.7142857142857143,0.6923076923076923,online_median[k=3],S24,13
0.875,0.7319250547113999,0.8333333333333334,0.8461538461538461,online_quantile[k=5],S24,13
0.875,0.7319250547113999,0.8333333333333334,0.8461538461538461,online_median[k=5],S24,13
0.6666666666666666,0.47140452079103173,0.8,0.7142857142857143,fixed_0.5,S25,14
0.6666666666666666,0.47140452079103173,0.8,0.7142857142857143,val_subject,S25,14
0.6458333333333333,0.28867513459481287,0.6666666666666666,0.6428571428571429,train_prior_quantile,S25,14
0.6666666666666666,0.47140452079103173,0.8,0.7142857142857143,online_quantile[k=2],S25,14
0.6666666666666666,0.47140452079103173,0.8,0.7142857142857143,online_median[k=2],S25,14
0.6666666666666666,0.47140452079103173,0.8,0.7142857142857143,online_quantile[k=3],S25,14
0.6666666666666666,0.47140452079103173,0.8,0.7142857142857143,online_median[k=3],S25,14
0.6666666666666666,0.47140452079103173,0.8,0.7142857142857143,online_quantile[k=5],S25,14
0.6666666666666666,0.47140452079103173,0.8,0.7142857142857143,online_median[k=5],S25,14
1.0,1.0,1.0,1.0,fixed_0.5,S26,7
1.0,1.0,1.0,1.0,val_subject,S26,7
0.9,0.7302967433402214,0.8888888888888888,0.8571428571428571,train_prior_quantile,S26,7
1.0,1.0,1.0,1.0,online_quantile[k=2],S26,7
1.0,1.0,1.0,1.0,online_median[k=2],S26,7
1.0,1.0,1.0,1.0,online_quantile[k=3],S26,7
1.0,1.0,1.0,1.0,online_median[k=3],S26,7
1.0,1.0,1.0,1.0,online_quantile[k=5],S26,7
1.0,1.0,1.0,1.0,online_median[k=5],S26,7
0.6166666666666667,0.24370871833797697,0.5882352941176471,0.5625,fixed_0.5,S08,16
0.6166666666666667,0.24370871833797697,0.5882352941176471,0.5625,val_subject,S08,16
0.6333333333333333,0.2581988897471611,0.5714285714285714,0.625,train_prior_quantile,S08,16
0.6666666666666667,0.3333333333333333,0.625,0.625,online_quantile[k=2],S08,16
0.6666666666666667,0.3333333333333333,0.625,0.625,online_median[k=2],S08,16
0.6666666666666667,0.3333333333333333,0.625,0.625,online_quantile[k=3],S08,16
0.6666666666666667,0.3333333333333333,0.625,0.625,online_median[k=3],S08,16
0.6666666666666667,0.3333333333333333,0.625,0.625,online_quantile[k=5],S08,16
0.6666666666666667,0.3333333333333333,0.625,0.625,online_median[k=5],S08,16
0.8125,0.5,0.7692307692307693,0.7,fixed_0.5,S09,10
0.8125,0.5,0.7692307692307693,0.7,val_subject,S09,10
0.8125,0.5,0.7692307692307693,0.7,train_prior_quantile,S09,10
0.9375,0.7637626158259734,0.9333333333333333,0.9,online_quantile[k=2],S09,10
0.9375,0.7637626158259734,0.9333333333333333,0.9,online_median[k=2],S09,10
0.9375,0.7637626158259734,0.9333333333333333,0.9,online_quantile[k=3],S09,10
0.9375,0.7637626158259734,0.9333333333333333,0.9,online_median[k=3],S09,10
0.875,0.6123724356957946,0.8571428571428571,0.8,online_quantile[k=5],S09,10
0.875,0.6123724356957946,0.8571428571428571,0.8,online_median[k=5],S09,10
0.875,0.816496580927726,0.8571428571428571,0.9166666666666666,fixed_0.5,S10,12
0.875,0.816496580927726,0.8571428571428571,0.9166666666666666,val_subject,S10,12
0.6875,0.3535533905932738,0.6,0.6666666666666666,train_prior_quantile,S10,12
0.8125,0.5976143046671968,0.7272727272727273,0.75,online_quantile[k=2],S10,12
0.8125,0.5976143046671968,0.7272727272727273,0.75,online_median[k=2],S10,12
0.8125,0.5976143046671968,0.7272727272727273,0.75,online_quantile[k=3],S10,12
0.8125,0.5976143046671968,0.7272727272727273,0.75,online_median[k=3],S10,12
0.875,0.7071067811865476,0.8,0.8333333333333334,online_quantile[k=5],S10,12
0.875,0.7071067811865476,0.8,0.8333333333333334,online_median[k=5],S10,12
0.8,0.5477225575051661,0.75,0.7142857142857143,fixed_0.5,S12,7
0.8,0.5477225575051661,0.75,0.7142857142857143,val_subject,S12,7
0.9,0.7302967433402214,0.8888888888888888,0.8571428571428571,train_prior_quantile,S12,7
0.9,0.7302967433402214,0.8888888888888888,0.8571428571428571,online_quantile[k=2],S12,7
0.9,0.7302967433402214,0.8888888888888888,0.8571428571428571,online_median[k=2],S12,7
0.9,0.7302967433402214,0.8888888888888888,0.8571428571428571,online_quantile[k=3],S12,7
0.9,0.7302967433402214,0.8888888888888888,0.8571428571428571,online_median[k=3],S12,7
0.9,0.7302967433402214,0.8888888888888888,0.8571428571428571,online_quantile[k=5],S12,7
0.9,0.7302967433402214,0.8888888888888888,0.8571428571428571,online_median[k=5],S12,7
0.5,0.0,0.0,0.6666666666666666,fixed_0.5,S13,6
0.5,0.0,0.0,0.6666666666666666,val_subject,S13,6
0.875,0.7071067811865476,0.8,0.8333333333333334,train_prior_quantile,S13,6
0.875,0.7071067811865476,0.8,0.8333333333333334,online_quantile[k=2],S13,6
0.875,0.7071067811865476,0.8,0.8333333333333334,online_median[k=2],S13,6
0.875,0.7071067811865476,0.8,0.8333333333333334,online_quantile[k=3],S13,6
0.875,0.7071067811865476,0.8,0.8333333333333334,online_median[k=3],S13,6
0.75,0.6324555320336759,0.6666666666666666,0.8333333333333334,online_quantile[k=5],S13,6
0.75,0.6324555320336759,0.6666666666666666,0.8333333333333334,online_median[k=5],S13,6
0.9166666666666667,0.7453559924999299,0.9090909090909091,0.875,fixed_0.5,S14,8
0.9166666666666667,0.7453559924999299,0.9090909090909091,0.875,val_subject,S14,8
0.8333333333333333,0.5773502691896258,0.8,0.75,train_prior_quantile,S14,8
0.6666666666666667,0.3333333333333333,0.8333333333333334,0.75,online_quantile[k=2],S14,8
0.6666666666666667,0.3333333333333333,0.8333333333333334,0.75,online_median[k=2],S14,8
0.6666666666666667,0.3333333333333333,0.8333333333333334,0.75,online_quantile[k=3],S14,8
0.6666666666666667,0.3333333333333333,0.8333333333333334,0.75,online_median[k=3],S14,8
0.9166666666666667,0.7453559924999299,0.9090909090909091,0.875,online_quantile[k=5],S14,8
0.9166666666666667,0.7453559924999299,0.9090909090909091,0.875,online_median[k=5],S14,8
