tau,subject,density_mean,mean_degree,isolated_nodes_mean
0.2,S43,0.6849624060150376,12.329323308270677,0.0
0.2,S44,0.6969924812030075,12.545864661654136,0.14285714285714285
0.25,S01,0.6638596491228069,11.949473684210526,0.08666666666666667
0.25,S02,0.712781954887218,12.830075187969925,0.1
0.25,S03,0.6471734892787524,11.649122807017545,0.21666666666666667
0.25,S05,0.6402046783625732,11.523684210526316,0.125
0.25,S06,0.6108187134502924,10.994736842105263,0.3
0.25,S07,0.6360902255639099,11.449624060150375,0.08571428571428572
0.25,S08,0.6557748538011696,11.803947368421053,0.25
0.25,S09,0.6330994152046785,11.39578947368421,0.12
0.25,S10,0.7280214424951268,13.10438596491228,0.09166666666666666
0.25,S12,0.6401002506265665,11.521804511278196,0.14285714285714285
0.25,S13,0.5980506822612085,10.764912280701754,0.16666666666666666
0.25,S14,0.6108187134502924,10.994736842105263,0.2375
0.25,S15,0.6333333333333333,11.4,0.3
0.25,S16,0.6624269005847953,11.923684210526316,0.1875
0.25,S17,0.6358395989974938,11.445112781954887,0.1
0.25,S18,0.6591896407685881,11.865413533834586,0.05
0.25,S19,0.6110079119367045,10.99814241486068,0.3235294117647059
0.25,S20,0.6217209690893901,11.190977443609022,0.22857142857142856
0.25,S21,0.5796296296296295,10.433333333333334,0.6166666666666667
0.25,S22,0.5831662489557227,10.496992481203007,0.19285714285714287
0.25,S23,0.5812865497076023,10.463157894736842,0.13333333333333333
0.25,S24,0.6112910481331534,11.003238866396762,0.14615384615384616
0.25,S25,0.5859649122807018,10.547368421052632,0.22857142857142856
0.25,S26,0.6562238930659983,11.81203007518797,0.24285714285714285
0.25,S27,0.6030075187969923,10.854135338345865,0.12857142857142856
0.25,S28,0.7224728487886382,13.004511278195489,0.12857142857142856
0.25,S29,0.6541228070175439,11.77421052631579,0.19
0.25,S30,0.6250562303193883,11.251012145748987,0.16923076923076924
0.25,S31,0.5667397660818714,10.201315789473684,0.2875
0.25,S32,0.7300751879699247,13.141353383458647,0.2
0.25,S33,0.5721247563352827,10.298245614035087,0.3
0.25,S34,0.8187134502923976,14.736842105263158,0.1
0.25,S35,0.683138401559454,12.296491228070176,0.05
0.25,S36,0.7032581453634084,12.658646616541354,0.12857142857142856
0.25,S37,0.6798976608187134,12.238157894736842,0.2875
0.25,S38,0.6509356725146199,11.716842105263158,0.02
0.25,S39,0.5746867167919799,10.344360902255639,0.5285714285714286
0.25,S40,0.5598997493734336,10.078195488721805,0.32857142857142857
0.25,S41,0.68180636777128,12.27251461988304,0.12222222222222222
0.25,S42,0.6690893901420217,12.04360902255639,0.05714285714285714
0.25,S43,0.6063492063492064,10.914285714285715,0.07142857142857142
0.25,S44,0.6285714285714286,11.314285714285715,0.45714285714285713
0.3,S01,0.5938791423001949,10.689824561403508,0.2866666666666667
0.3,S02,0.6576441102756891,11.837593984962407,0.3
0.3,S03,0.5792397660818713,10.426315789473684,0.5666666666666667
0.3,S05,0.5714912280701754,10.286842105263158,0.35
0.3,S06,0.5432017543859649,9.777631578947368,0.825
0.3,S07,0.5581453634085214,10.046616541353384,0.4142857142857143
0.3,S08,0.5891812865497076,10.605263157894736,0.55
0.3,S09,0.5591812865497076,10.065263157894737,0.38
0.3,S10,0.6759259259259259,12.166666666666666,0.25833333333333336
0.3,S12,0.5751879699248119,10.353383458646617,0.42857142857142855
0.3,S13,0.5241715399610137,9.435087719298245,0.36666666666666664
0.3,S14,0.5429824561403509,9.773684210526316,0.5875
0.3,S15,0.5668615984405458,10.203508771929824,0.7166666666666667
0.3,S16,0.5978070175438596,10.760526315789473,0.425
0.3,S17,0.5631578947368421,10.136842105263158,0.2571428571428571
0.3,S18,0.5969089390142023,10.74436090225564,0.2857142857142857
0.3,S19,0.5386308909528723,9.695356037151702,0.8647058823529412
0.3,S20,0.5487886382623225,9.878195488721804,0.6857142857142857
0.3,S21,0.5037037037037037,9.066666666666666,1.3833333333333333
0.3,S22,0.5077694235588973,9.139849624060151,0.5928571428571429
0.3,S23,0.5045808966861599,9.082456140350876,0.43333333333333335
0.3,S24,0.5412955465587043,9.74331983805668,0.47692307692307695
0.3,S25,0.506390977443609,9.115037593984962,0.7642857142857142
0.3,S26,0.5964912280701753,10.736842105263158,0.5
0.3,S27,0.5282372598162072,9.50827067669173,0.4714285714285714
0.3,S28,0.6701754385964912,12.063157894736841,0.2714285714285714
0.3,S29,0.585233918128655,10.534210526315789,0.405
0.3,S30,0.5503823661718399,9.906882591093117,0.4
0.3,S31,0.48552631578947364,8.739473684210527,1.0375
0.3,S32,0.679281537176274,12.227067669172932,0.4142857142857143
0.3,S33,0.49532163742690055,8.91578947368421,0.7166666666666667
