metric,model,full_mean,model_mean,median_delta,delta_ci_low,delta_ci_high,wilcoxon_p,p_holm,cliffs_delta,rank_biserial,is_strongest_baseline,avg_rank_full,avg_rank_model
mcc,EEG Transformer,0.4631089866077064,0.08455342782683417,0.5477225575051661,0.22072804065551682,0.533275234371522,0.0003110983655568881,0.004044278752239545,0.5390796201607012,0.6936936936936937,False,7.337837837837838,11.91891891891892
mcc,EEGNet,0.4631089866077064,0.21116200702335863,0.20744007520801927,0.09437239505210719,0.4125141642109002,0.0069246755186191285,0.06924675518619128,0.38422205989773556,0.5165165165165165,False,7.337837837837838,10.783783783783784
mcc,ET-GRU,0.4631089866077064,0.5306853990449262,0.0,-0.1888018657294221,0.04652531628837804,0.6132289958832697,1.0,-0.11906501095690285,-0.11229946524064172,False,7.337837837837838,6.324324324324325
mcc,ET-LSTM,0.4631089866077064,0.5292638956127858,0.0,-0.1906182970749573,0.05118929894467632,0.4595385878221868,1.0,-0.11760409057706354,-0.18548387096774194,False,7.337837837837838,6.378378378378378
mcc,ET-Transformer,0.4631089866077064,0.491369361937936,-0.040736440974308674,-0.15518252186047607,0.09479325112091477,0.9218795382056908,1.0,-0.05113221329437546,-0.0016806722689075631,False,7.337837837837838,6.675675675675675
mcc,Early-Fusion MLP,0.4631089866077064,0.4252999573105819,0.0,-0.09196623658102308,0.16888910708220142,0.6561221104032886,1.0,0.04967129291453616,0.10685483870967742,False,7.337837837837838,7.851351351351352
mcc,GAT,0.4631089866077064,-0.03191266547442357,0.5477225575051662,0.3480810448645307,0.6414949835075974,4.660115799854622e-06,7.922196859752858e-05,0.7070854638422206,0.8894830659536542,False,7.337837837837838,14.08108108108108
mcc,Late Fusion (CNN-LSTM+ET-LSTM),0.4631089866077064,0.21432827168668797,0.2581988897471611,0.0724667544957751,0.4196491232900591,0.010322011918889774,0.09289810727000797,0.3360116873630387,0.4907563025210084,False,7.337837837837838,10.635135135135135
mcc,Multimodal Transformer,0.4631089866077064,0.4674463335119705,0.0,-0.1317296758500624,0.11400848022814865,0.9098870924425487,1.0,-0.020452885317750184,0.00946969696969697,False,7.337837837837838,7.486486486486487
mcc,ShallowConvNet,0.4631089866077064,0.172450868182136,0.2928932188134524,0.12805596197371197,0.45154516186467086,0.001881916277800611,0.02070107905580672,0.42220598977355733,0.5989304812834224,False,7.337837837837838,11.567567567567568
mcc,TSception,0.4631089866077064,0.07009761833830258,0.3535533905932738,0.250537655426126,0.5351288815082995,3.6887414404995285e-05,0.0005533112160749292,0.5544192841490139,0.7780938833570412,False,7.337837837837838,12.81081081081081
roc_auc,CNN-BiLSTM,0.9014208447506767,0.5896981999187881,0.3125,0.22950180440726659,0.39301076880383606,1.2249891581080892e-06,1.714984821351325e-05,0.7392257121986852,0.9251336898395722,False,5.1891891891891895,12.945945945945946
roc_auc,CNN-LSTM,0.9014208447506767,0.5559094022539401,0.36363636363636365,0.26317193160024044,0.4298596742034242,2.646008933580668e-07,4.498215187087136e-06,0.7538349159970782,1.0,False,5.1891891891891895,13.08108108108108
roc_auc,Cross-Attention,0.9014208447506767,0.8508970586596637,0.0,-0.014752939566489995,0.11328566434763915,0.11901837525748957,0.4454845293155877,0.17677136596055515,0.39886039886039887,False,5.1891891891891895,6.675675675675675
roc_auc,DeepConvNet,0.9014208447506767,0.5851954074012898,0.346938775510204,0.22929808001210308,0.4051738827902169,3.7305583960829544e-06,4.10361423569125e-05,0.6596055514974434,0.9337121212121212,False,5.1891891891891895,12.108108108108109
roc_auc,Dual Transformer,0.9014208447506767,0.848796011033406,0.0,-0.014284580386208532,0.12404709687929225,0.11137113232889692,0.4454845293155877,0.10810810810810811,0.4199134199134199,False,5.1891891891891895,6.648648648648648
roc_auc,DynamicGAT+ET Transformer,0.9014208447506767,0.8223476368434351,0.0,0.029130725693225702,0.13287127750363045,0.02661699177979248,0.15970195067875487,0.22571219868517164,0.6014492753623188,False,5.1891891891891895,7.364864864864865
roc_auc,EEG Transformer,0.9014208447506767,0.6077034601719475,0.25,0.19521280225849552,0.3975796780628714,1.2059066122000071e-05,0.00011183725155165966,0.7370343316289262,0.8556149732620321,False,5.1891891891891895,11.891891891891891
roc_auc,EEGNet,0.9014208447506767,0.615753762192838,0.2272727272727274,0.1808710495254613,0.39073403857857636,1.1183725155165966e-05,0.00011183725155165966,0.6252739225712198,0.8709677419354839,False,5.1891891891891895,11.81081081081081
roc_auc,ET-GRU,0.9014208447506767,0.8759118123088712,0.0,-0.014726374579315735,0.06541835550764125,0.06697810656169262,0.3348905328084631,0.12198685171658144,0.49523809523809526,False,5.1891891891891895,6.283783783783784
roc_auc,ET-LSTM,0.9014208447506767,0.9047316018954674,0.0,-0.05161780544527391,0.040915428927508775,0.9877629289357642,0.9877629289357642,-0.030679327976625273,0.011695906432748537,True,5.1891891891891895,5.324324324324325
roc_auc,ET-Transformer,0.9014208447506767,0.8159004289676558,0.040000000000000036,0.04247943710653794,0.12786086139001054,0.0006952045405260789,0.005561636324208631,0.22498173849525202,0.8142292490118577,False,5.1891891891891895,7.8108108108108105
roc_auc,Early-Fusion MLP,0.9014208447506767,0.862613028421852,0.0,-0.02407002594239989,0.10297114085191815,0.27846234551486815,0.5569246910297363,0.06281957633308985,0.3523809523809524,False,5.1891891891891895,6.0
roc_auc,GAT,0.9014208447506767,0.4926568157975721,0.48,0.3039667061542062,0.5066245157153771,1.7231915173344922e-06,2.24014897253484e-05,0.8641344046749452,0.9018492176386913,False,5.1891891891891895,14.14864864864865
roc_auc,Late Fusion (CNN-LSTM+ET-LSTM),0.9014208447506767,0.6709009271194145,0.16666666666666674,0.16106694189756166,0.30299416927909567,2.5908161874033607e-06,3.108979424884033e-05,0.6157779401022644,0.9180035650623886,False,5.1891891891891895,11.22972972972973
roc_auc,Multimodal Transformer,0.9014208447506767,0.8111479911374869,0.028571428571428803,0.04057131851512103,0.14185450162866126,0.0011469727904006213,0.008028809532804349,0.2914536157779401,0.6878306878306878,False,5.1891891891891895,8.175675675675675
roc_auc,ShallowConvNet,0.9014208447506767,0.6796421594845963,0.1875,0.15755052385409526,0.29145718412262533,8.293249129491334e-07,1.3269198607186135e-05,0.662527392257122,0.9526515151515151,False,5.1891891891891895,11.378378378378379
roc_auc,TSception,0.9014208447506767,0.5734480860321197,0.3125,0.2395851009322648,0.4174664253600703,1.0541725562128005e-06,1.5812588343192006e-05,0.733382030679328,0.9361344537815126,False,5.1891891891891895,12.932432432432432
